Date,Guinea,Liberia,Sierra.Leone
2014-03-22,29,0,0
2014-03-31,80,2,0
2014-04-14,108,2,0
2014-05-01,149,11,0
2014-05-12,171,11,0
2014-05-27,186,11,5
2014-06-17,264,24,49
2014-07-02,305,75,101
2014-07-14,310,106,197
2014-07-23,319,129,224
2014-07-30,346,227,252
2014-08-09,373,323,315
2014-08-16,394,466,365
2014-08-31,494,871,436
2014-09-14,601,1461,516
2014-09-28,710,1998,570
2014-10-12,843,2458,1183
2014-10-19,926,2705,1259
2014-11-02,1041,2697,1450
2014-11-18,1214,2963,1598
2014-11-30,1325,3157,1915
2014-12-14,1525,3346,2417
2014-12-28,1709,3423,2758
2015-01-11,1814,3538,3062
2015-01-25,1910,3686,3199
2015-02-08,1995,3841,3341
2015-02-22,2091,4037,3461
2015-03-08,2170,4169,3629
2015-03-22,2263,4301,3747
2015-04-05,2333,4408,3831
2015-04-19,2358,4573,3877
2015-05-03,2386,4716,3903
2015-05-17,2407,4806,3907
2015-05-31,2429,4806,3912
2015-06-14,2444,4806,3919
2015-06-21,2473,4806,3924
2015-06-28,2482,4806,3932
2015-07-05,2499,4807,3940
2015-07-12,2506,4808,3947
2015-07-26,2520,4808,3951
2015-08-09,2524,4808,3951
2015-08-16,2524,4808,3952
2015-08-30,2529,4808,3953
2015-09-06,2530,4808,3953
2015-09-13,2530,4808,3953
2015-09-20,2532,4808,3955
2015-09-27,2533,4808,3955
2015-10-11,2534,4808,3955
2015-10-18,2535,4808,3955
2015-10-25,2535,4808,3955
2015-11-04,2536,4808,3955
2015-11-11,2536,4808,3955
2015-11-18,2536,4808,3955
2015-11-25,2536,4808,3955
